pl_name,hostname,disc_year,discoverymethod,pl_rade,pl_bmasse,pl_bmassprov,pl_orbper,pl_eqt,pl_insol,pl_orbsmax,st_teff,st_rad,st_mass,st_met,st_age,sy_dist
"WASP-149 b","WASP-149",2025,"Transit",15.24421375,314.96795134,"Mass",1.33281300000,1855.00,1966.0000,0.0240000000,5750.00,1.080000,1.050000,0.0000,0.6000,211.73000000
"WASP-15 b","WASP-15",2009,"Transit",15.80469000,171.62820000,"Mass",3.75210000000,1676.00,1237.7366,0.0516500000,6300.00,1.480000,1.180000,-0.1700,2.4000,282.09100000
"WASP-150 b","WASP-150",2020,"Transit",11.99363000,2688.84180000,"Mass",5.64420700000,1460.00,854.7074,0.0694000000,6218.00,1.651000,1.394000,0.1560,2.9500,527.99500000
"WASP-151 b","WASP-151",2017,"Transit",13.30506009,100.43377661,"Mass",4.53347750000,1312.00,460.0000,0.0550000000,5871.00,1.181000,1.081000,0.1000,5.5000,453.09900000
"WASP-153 b","WASP-153",2017,"Transit",17.37395000,123.95370000,"Mass",3.33260900000,1700.00,1400.0000,0.0480000000,5914.00,1.730000,1.336000,0.3400,4.0000,610.17600000
"WASP-154 b","WASP-154",2025,"Transit",10.76062147,198.96058278,"Mass",3.81167800000,994.00,162.0000,0.0440000000,4774.00,0.823000,0.800000,0.2000,,215.50100000
"WASP-155 b","WASP-155",2025,"Transit",13.45077684,276.82854250,"Mass",3.11041300000,1468.00,771.0000,0.0430000000,5660.00,1.240000,1.090000,0.0000,1.7000,399.63000000
"WASP-156 b","WASP-156",2017,"Transit",6.15000000,42.00000000,"Mass",3.83616290000,934.50,150.0000,0.0460000000,5036.00,0.826800,0.871200,0.3200,5.6000,122.06600000
"WASP-157 b","WASP-157",2016,"Transit",11.19000000,182.43442000,"Mass",3.95162300000,1193.00,482.1005,0.0499000000,5772.00,1.100000,1.060000,0.2500,1.6000,334.03700000
"WASP-158 b","WASP-158",2018,"Transit",11.99363000,886.74570000,"Mass",3.65633300000,1590.00,903.0130,0.0517000000,6350.00,1.390000,1.380000,0.2400,1.9300,524.99300000
"WASP-159 b","WASP-159",2018,"Transit",15.46842000,174.80650000,"Mass",3.84040100000,1850.00,1599.9200,0.0538000000,6120.00,2.110000,1.410000,0.2200,3.4000,715.38300000
"WASP-16 b","WASP-16",2009,"Transit",13.67498000,394.10920000,"Mass",3.11860000000,1389.00,481.9170,0.0415000000,5700.00,1.140000,1.780000,0.0100,8.6000,194.13400000
"WASP-160 B b","WASP-160 B",2018,"Transit",12.21781000,88.35674000,"Mass",3.76849520000,1119.00,210.5750,0.0452000000,5298.00,0.868000,0.870000,0.2700,9.7500,288.32600000
"WASP-161 b","WASP-161",2018,"Transit",12.81188700,791.39670000,"Mass",5.40604250000,1557.00,990.0000,0.0673000000,6400.00,1.712000,1.390000,0.1600,,343.08000000
"WASP-162 b","WASP-162",2018,"Transit",11.20900000,1652.71600000,"Mass",9.62468000000,910.00,121.9180,0.0871000000,5300.00,1.110000,0.950000,0.2800,12.9700,310.84100000
"WASP-163 b","WASP-163",2018,"Transit",13.47321800,594.34210000,"Mass",1.60968840000,1638.00,1200.0000,0.0266000000,5500.00,1.015000,0.970000,-0.3400,,261.38600000
"WASP-164 b","WASP-164",2018,"Transit",12.64375200,676.97790000,"Mass",1.77712550000,1610.00,1043.2122,0.0281800000,5806.00,0.932000,0.946000,-0.0100,4.0800,327.50600000
"WASP-165 b","WASP-165",2018,"Transit",14.12334000,209.13214000,"Mass",3.46550900000,1624.00,1373.5324,0.0482300000,5599.00,1.750000,1.248000,0.3300,4.7700,602.23600000
"WASP-166 b","WASP-166",2019,"Transit",7.06167000,32.10083000,"Mass",5.44354000000,1270.00,440.0000,0.0641000000,6050.00,1.220000,1.190000,0.1900,2.1000,114.17300000
"WASP-167 b","WASP-167",2017,"Transit",17.71022000,2542.64000000,"Mass",2.02195960000,2329.00,3208.4100,0.0365000000,7000.00,1.790000,1.590000,0.1000,1.2900,423.55200000
"WASP-168 b","WASP-168",2018,"Transit",16.81350000,133.48860000,"Mass",4.15365800000,1340.00,278.8860,0.0519000000,6000.00,1.120000,1.080000,-0.0100,3.9600,303.94100000
